TABLE_SCHEMA|TABLE_NAME|ORDINAL_POSITION|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE
------------|----------|----------------|-----------|---------|------------------------|-----------------|-------------|-----------
dbo|App_Chat|1|Id|int|NULL|10|0|NO
dbo|App_Chat|2|Id_User_Emiter|nvarchar|900|NULL|NULL|NO
dbo|App_Chat|3|Id_User_Receiver|nvarchar|900|NULL|NULL|NO
dbo|App_Chat|4|Message|varchar|-1|NULL|NULL|NO
dbo|App_Chat|5|Date_Msg|datetime|NULL|NULL|NULL|NO
dbo|App_Chat|6|Is_Readed|bit|NULL|NULL|NULL|NO
dbo|App_Chat|7|Date_Readed|datetime|NULL|NULL|NULL|YES
dbo|App_Chat|8|Type_Chat|varchar|100|NULL|NULL|NO
dbo|App_Chat|9|Id_Type_Chat|nvarchar|900|NULL|NULL|YES
dbo|App_Chat|10|Id_Profile_Type_Chat|nvarchar|900|NULL|NULL|YES
dbo|App_Chat|11|Id_Group_Type_Chat|int|NULL|10|0|YES
dbo|App_Chat|12|Is_Visible|bit|NULL|NULL|NULL|NO
dbo|App_Chat_Groups|1|Id|int|NULL|10|0|NO
dbo|App_Chat_Groups|2|Code|varchar|100|NULL|NULL|NO
dbo|App_Chat_Groups|3|Id_User_Creator|nvarchar|900|NULL|NULL|NO
dbo|App_Chat_Groups|4|Name|varchar|250|NULL|NULL|NO
dbo|App_Chat_Groups|5|Is_Active|bit|NULL|NULL|NULL|NO
dbo|App_Chat_Groups|6|Date_Creation|datetime|NULL|NULL|NULL|NO
dbo|App_Chat_Groups|7|Path_Img_Group|varchar|1000|NULL|NULL|YES
dbo|App_Chat_Groups_Users|1|Id|int|NULL|10|0|NO
dbo|App_Chat_Groups_Users|2|Id_Chat_Group|int|NULL|10|0|NO
dbo|App_Chat_Groups_Users|3|Id_User|nvarchar|900|NULL|NULL|NO
dbo|App_Data_Types|1|Id|int|NULL|10|0|NO
dbo|App_Data_Types|2|Name|varchar|30|NULL|NULL|NO
dbo|App_Data_Types|3|Presentation|varchar|50|NULL|NULL|NO
dbo|App_Data_Types|4|TypeDescription|varchar|1000|NULL|NULL|YES
dbo|App_Data_Types|5|Regex|varchar|500|NULL|NULL|YES
dbo|App_Design_Variables|1|Id|int|NULL|10|0|NO
dbo|App_Design_Variables|2|Id_EntityType|int|NULL|10|0|NO
dbo|App_Design_Variables|3|Id_Entity|numeric|NULL|18|0|YES
dbo|App_Design_Variables|4|Id_Variable|numeric|NULL|18|0|YES
dbo|App_Design_Variables|5|Title|varchar|256|NULL|NULL|YES
dbo|App_Design_Variables|6|Container_Name|varchar|256|NULL|NULL|YES
dbo|App_Design_Variables|7|Group_Name|varchar|256|NULL|NULL|YES
dbo|App_Design_Variables|8|Order_Number|int|NULL|10|0|YES
dbo|App_Design_Variables|9|Displace_Right|int|NULL|10|0|YES
dbo|App_Design_Variables|10|Size_Box|int|NULL|10|0|YES
dbo|App_Design_Variables|11|Is_Field_Multiline|bit|NULL|NULL|NULL|YES
dbo|App_Design_Variables|12|Num_Rows_Multiline|int|NULL|10|0|YES
dbo|App_Design_Variables|13|Size_Box_Mobile|int|NULL|10|0|YES
