FK_NAME|FK_SCHEMA|FK_TABLE|FK_COLUMN|PK_SCHEMA|PK_TABLE|PK_COLUMN
-------|---------|--------|---------|---------|--------|---------
FK_App_Log_Events_App_Log_Type_Events|dbo|App_Log_Events|Code_Type_Event|dbo|App_Log_Type_Events|Code
FK_App_Widget_App_Widget_Group|dbo|App_Widget|Id_Group|dbo|App_Widget_Group|Id
FK_ArchivosAdjuntosMaestros_id_Sys_Entidades|dbo|ArchivosAdjuntosMaestros|id_Sys_Entidades|dbo|sys_Entidades|id
FK_AspNetAccessByRecord_App_Entities|dbo|AspNetAccessByRecord|Id_MasterEntity|dbo|App_Entities|Id
FK_AspNetAccessByRecord_AspNetRoles|dbo|AspNetAccessByRecord|Id_Role|dbo|AspNetRoles|Id
FK_AspNetAccessByRecord_Privigeles_AspNetAccessByRecord|dbo|AspNetAccessByRecord_Privigeles|Id_AspNetAccessByRecord|dbo|AspNetAccessByRecord|Id
FK_AspNetRoleClaims_AspNetRoles_RoleId|dbo|AspNetRoleClaims|RoleId|dbo|AspNetRoles|Id
FK_AspNetUserClaims_AspNetUsers_UserId|dbo|AspNetUserClaims|UserId|dbo|AspNetUsers|Id
FK_AspNetUserLogins_AspNetUsers_UserId|dbo|AspNetUserLogins|UserId|dbo|AspNetUsers|Id
FK_AspNetUserRoles_AspNetRoles_RoleId|dbo|AspNetUserRoles|RoleId|dbo|AspNetRoles|Id
FK_AspNetUserRoles_AspNetUsers_UserId|dbo|AspNetUserRoles|UserId|dbo|AspNetUsers|Id
FK_DocumentosRelacionAdjuntos_id_Archivosadjuntos|dbo|DocumentosRelacionAdjuntos|id_Archivosadjuntos|dbo|ArchivosAdjuntos|Id
FK_DocumentosRelacionAdjuntos_Id_entidades|dbo|DocumentosRelacionAdjuntos|Id_entidades|dbo|Entidades|Id
FK_t0000_t028_1|dbo|t0000_doc_procesos|f0000_clase_docto|dbo|t028_mm_clases_documento|f028_id
FK_t0001_t0000_1|dbo|t0001_doc_proceso_tablas|f0001_id_proceso|dbo|t0000_doc_procesos|f0000_id_proceso
FK_t004_t0011_1|dbo|t004_pp_pref_usuario|f004_id_cultura|dbo|t0011_pp_culturas|f0011_id
FK_t004_t010_1|dbo|t004_pp_pref_usuario|f004_id_cia_ultimo|dbo|t010_mm_companias|f010_id
FK_t004_t545_1|dbo|t004_pp_pref_usuario|f004_id_grupo_menu_ultimo|dbo|t545_mn_grupos_menu|f545_id
FK_t004_t552_1|dbo|t004_pp_pref_usuario|f004_rowid_usuario|dbo|t552_ss_usuarios|f552_rowid
FK_t0053_t003_1|dbo|t0053_pp_cfg_apariencia|f0053_id_modulo|dbo|t003_pp_modulos|f003_id
FK_t007_t006_1|dbo|t007_mm_automatizacion_proceso|f007_id_param_automatizacion|dbo|t006_pp_param_automatizacion|f006_id
FK_t007_t010_1|dbo|t007_mm_automatizacion_proceso|f007_id_cia|dbo|t010_mm_companias|f010_id
