TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
------------|----------|-----------|----------------|---------------
dbo|App_Chat|Id|1|PK_App_Chat
dbo|App_Chat_Groups|Id|1|PK_App_Chat_Groups
dbo|App_Chat_Groups_Users|Id|1|PK_App_Chat_Groups_Users
dbo|App_Data_Types|Id|1|PK__App_Data__3214EC07BB37FB90
dbo|App_Design_Variables|Id|1|PK_App_Design_Variables
dbo|App_Design_Variables_Items|Id|1|PK_App_Design_Variables_Items
dbo|App_Entities|Id|1|PK_AppEntities
dbo|App_Entities_Fields|Id|1|PK_App_Entities_Fields
dbo|App_Entities_Property|Id|1|PK_App_Entities_Property
dbo|App_Entities_Selector|Id|1|PK__App_Enti__3214EC077B7284B7
dbo|App_Entities_Types|Id|1|PK__App_Enti__3214EC07D1667FDB
dbo|App_Formula_Create_Fn|Id|1|PK_App_Formula_Create_Fn
dbo|App_Log_Events|Code|1|PK_App_Log_Events_1
dbo|App_Log_Messages|Id|1|PK_App_Log_Messages
dbo|App_Log_Type_Events|Code|1|PK_App_Log_Type_Events
dbo|App_Log_Zeus|Id|1|PK_App_Log_Zeus
dbo|app_parameters|id|1|PK_App_Parameters
dbo|App_Searcher|Id|1|PK_App_Searcher
dbo|App_Searcher_Fields|Id|1|PK_App_Searcher_Fields
dbo|App_Searcher_Operators|Id|1|PK_App_Searcher_Operators
dbo|App_Variables_Group|Id|1|PK__App_Vari__3214EC072B59859F
dbo|App_Variables_List_Options|Id|1|PK__App_Vari__3214EC079A3B7804
dbo|App_Widget|Id|1|PK_App_Widget
dbo|App_Widget_Group|Id|1|PK_App_Widget_Group
dbo|App_Widget_Service|Id|1|PK_App_Widget_Service
dbo|appinfo|id|1|PK_AppInfo
dbo|ArchivosAdjuntos|Id|1|PK_ArchivosAdjuntos_Id
dbo|ArchivosAdjuntosMaestros|Id|1|PK_ArchivosAdjuntosMaestros
dbo|AspNetAccessByRecord|Id|1|PK_AspNetAccessByRecord
dbo|AspNetAccessByRecord_Privigeles|Id|1|PK_AspNetAccessByRecord_Privigeles
dbo|AspNetPrivileges|Id|1|PK__AspNetPr__3214EC07DB7BFB3B
dbo|AspNetRoleClaims|Id|1|PK_AspNetRoleClaims
dbo|AspNetRolePrivileges|Id|1|PK__AspNetRo__3214EC0704390691
dbo|AspNetRoles|Id|1|PK_AspNetRoles
dbo|AspNetTokenPasswordRecovery|Id|1|PK_AspNetTokenPasswordRecovery
dbo|AspNetUserClaims|Id|1|PK_AspNetUserClaims
dbo|AspNetUserLogins|LoginProvider|1|PK_AspNetUserLogins
dbo|AspNetUserLogins|ProviderKey|2|PK_AspNetUserLogins
dbo|AspNetUserRoles|UserId|1|PK_AspNetUserRoles
dbo|AspNetUserRoles|RoleId|2|PK_AspNetUserRoles
dbo|AspNetUsers|Id|1|PK_AspNetUsers
dbo|autopedido|id|1|PK_AutoPedido
dbo|commandhistory|id|1|PK_CommandHistory
dbo|DocumentosRelacionAdjuntos|Id|1|PK_DocumentosRelacionAdjuntos
dbo|Entidades|Id|1|PK_entidades
dbo|HistorialPagos|rowid|1|pk_historialpagos
dbo|LEAF_LOG|LOG_ID|1|LOG_PK
dbo|LEAF_MESSAGE|MESSAGE_ID|1|MESSAGE_PK
dbo|LEAF_MODULE|MODULE_ID|1|PK_MODULE
dbo|sys_Entidades|id|1|PK_sys_entidades
dbo|t000_documentacion|f000_tabla|1|PK_t000
dbo|t000_documentacion|f000_campo|2|PK_t000
dbo|t0000_doc_procesos|f0000_id_proceso|1|PK_t0000
dbo|t0001_doc_proceso_tablas|f0001_id_proceso|1|PK_t0001
dbo|t0001_doc_proceso_tablas|f0001_id_tabla|2|PK_t0001
dbo|t0005_pp_metadata|f0005_version|1|PK_t0005
dbo|t0005_pp_metadata|f0005_id_tabla|2|PK_t0005
dbo|t0005_pp_metadata|f0005_ind_tipo|3|PK_t0005
dbo|t0005_pp_metadata|f0005_id_objeto|4|PK_t0005
dbo|t001_pp_parametros|f001_rowid|1|PK_t001
dbo|t0011_pp_culturas|f0011_id|1|PK_t0011
dbo|t0012_pp_licencias_sbs|f0012_rowid_licencia|1|PK_t0012
dbo|t0013_pp_licencias|f0013_rowid_licencia|1|PK_t0013
dbo|t0014_pp_auth_prov|f0014_id|1|PK_t0014
dbo|t002_pp_versiones|f002_id|1|PK_t002
dbo|t0021_pp_procesos|f0021_rowid|1|PK_t0021
dbo|t003_pp_modulos|f003_id|1|PK_t003
dbo|t004_pp_pref_usuario|f004_rowid_usuario|1|PK_t004
dbo|t005_pp_certificador_fiscal|f005_id|1|PK_t005_pp_certificador_fiscal
dbo|t0051_pp_provee_integracion|f0051_id|1|PK_t0051
dbo|t0052_pp_plataformas_pago|f0052_id|1|PK_t0052
dbo|t0053_pp_cfg_apariencia|f0053_id|1|PK_t0053
dbo|t006_pp_param_automatizacion|f006_id|1|PK_t006
dbo|t007_mm_automatizacion_proceso|f007_id_cia|1|PK_t007
dbo|t007_mm_automatizacion_proceso|f007_id|2|PK_t007
dbo|t008_mm_automatizacion_valores|f008_id_cia|1|PK_t008
dbo|t008_mm_automatizacion_valores|f008_id_automatizacion_proceso|2|PK_t008
dbo|t008_mm_automatizacion_valores|f008_id_parametro_xml|3|PK_t008
dbo|t009_pp_proveedor_servicio|f009_id|1|PK_t009
dbo|t010_mm_companias|f010_id|1|PK_t010
dbo|t011_mm_paises|f011_id|1|PK_t011
dbo|t012_mm_deptos|f012_id_pais|1|PK_t012
dbo|t012_mm_deptos|f012_id|2|PK_t012
dbo|t013_mm_ciudades|f013_id_pais|1|PK_t013
dbo|t013_mm_ciudades|f013_id_depto|2|PK_t013
dbo|t013_mm_ciudades|f013_id|3|PK_t013
dbo|t014_mm_barrios|f014_id_pais|1|PK_t014
dbo|t014_mm_barrios|f014_id_depto|2|PK_t014
dbo|t014_mm_barrios|f014_id_ciudad|3|PK_t014
dbo|t014_mm_barrios|f014_id|4|PK_t014
dbo|t015_mm_contactos|f015_rowid|1|PK_t015
dbo|t0151_mm_direccion1|f0151_rowid|1|PK_t0151
dbo|t0152_mm_direccion2|f0152_rowid|1|PK_t0152
dbo|t0153_mm_direccion3|f0153_rowid|1|PK_t0153
dbo|t0154_mm_direccion3_etiq|f0154_rowid_dir3|1|PK_t0154
dbo|t0154_mm_direccion3_etiq|f0154_numero_et|2|PK_t0154
dbo|t0158_mm_otros_contac_clases|f0158_rowid|1|PK_t0158
dbo|t016_mm_bancos|f016_id|1|PK_t016
dbo|t017_mm_monedas|f017_id_cia|1|PK_t017
dbo|t017_mm_monedas|f017_id|2|PK_t017
dbo|t0171_mm_tipos_cambio|f0171_id_cia|1|PK_t0171
dbo|t0171_mm_tipos_cambio|f0171_id|2|PK_t0171
dbo|t018_mm_tasas_cambio|f018_id_cia|1|PK_t018
dbo|t018_mm_tasas_cambio|f018_id_tipo_cambio|2|PK_t018
dbo|t018_mm_tasas_cambio|f018_id_moneda|3|PK_t018
dbo|t018_mm_tasas_cambio|f018_fecha|4|PK_t018
dbo|t0181_mm_tipos_cambio_clases|f0181_id_cia|1|PK_t0181
dbo|t0181_mm_tipos_cambio_clases|f0181_id_clase_docto|2|PK_t0181
dbo|t0181_mm_tipos_cambio_clases|f0181_id_tipo_cambio|3|PK_t0181
dbo|t019_mm_cias_consolidadoras|f019_id_cia|1|PK_t019
dbo|t019_mm_cias_consolidadoras|f019_id_cia_consolidada|2|PK_t019
dbo|t020_mm_flias_documentos|f020_id_cia|1|PK_t020
dbo|t020_mm_flias_documentos|f020_id|2|PK_t020
dbo|t0201_mm_parametros_fact_elect|f0201_id_cia|1|PK_t0201
dbo|t0201_mm_parametros_fact_elect|f0201_id|2|PK_t0201
dbo|t0202_mm_imp_fiscal_config|f0202_rowid|1|PK_t0202
dbo|t021_mm_tipos_documentos|f021_id_cia|1|PK_t021
